                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0315,                 10.849,                0.69821,                0.84873,                 1.4244,                0.93082,                0.89702,                0.93485,                0.65462,                      0,                      0,                      0,                      0,                 1.0621,                 10.753,                0.62614,                0.71097,                 1.5539,              0.0032997,              0.0032997,              0.0032997
                      2,                0.81091,                 10.093,                0.68295,                0.67282,                 1.2762,                0.93572,                    0.9,                0.95602,                0.63157,                      0,                      0,                      0,                      0,                 1.0942,                 10.085,                0.52805,                0.69207,                 1.5731,              0.0066264,              0.0066264,              0.0066264
                      3,                0.80608,                 9.3879,                0.66777,                0.68594,                 1.2667,                0.87883,                0.91871,                0.94891,                0.64469,                      0,                      0,                      0,                      0,                 1.1702,                 9.3233,                0.46386,                0.71644,                  1.587,              0.0099466,              0.0099466,              0.0099466
                      4,                0.83039,                 8.9662,                0.65457,                0.73409,                 1.2907,                0.88149,                0.89254,                0.93194,                0.60248,                0.00877,                0.00667,                0.00023,                  2e-05,                 1.2125,                 8.5998,                0.47668,                0.87378,                 1.7041,              0.0099703,              0.0099703,              0.0099703
                      5,                0.82848,                 8.6105,                0.63946,                0.73075,                 1.2964,                0.87113,                0.93333,                0.92563,                0.55657,                  0.033,                0.02667,                 0.0021,                0.00027,                 1.1731,                 8.0344,                0.45087,                0.87196,                 1.6673,              0.0099604,              0.0099604,              0.0099604
                      6,                0.81335,                 8.3564,                0.62865,                0.72819,                 1.2813,                0.76467,                0.80667,                0.84664,                0.55297,                0.01472,                0.00667,                0.00022,                  2e-05,                 1.1692,                 8.1828,                0.42991,                 1.0373,                 1.7143,              0.0099505,              0.0099505,              0.0099505
                      7,                0.80089,                 8.2425,                0.61429,                0.71111,                 1.2692,                0.82866,                0.87053,                0.92001,                0.61131,                0.01408,                0.01333,                0.00063,                  9e-05,                 1.1259,                 8.1084,                0.37731,                0.88602,                 1.5814,              0.0099406,              0.0099406,              0.0099406
                      8,                0.77669,                 7.8724,                0.59638,                0.69703,                 1.2422,                 0.8972,                0.93333,                0.94648,                0.65111,                0.05133,                0.05333,                0.00536,                0.00112,                 1.0607,                 7.6734,                0.37804,                0.82722,                 1.5966,              0.0099307,              0.0099307,              0.0099307
                      9,                0.76251,                 7.7659,                0.58655,                0.67536,                 1.2397,                0.94532,                0.92198,                0.97578,                0.71484,                0.08956,                0.08667,                0.01107,                0.00166,                0.97037,                 7.3371,                 0.3571,                0.64076,                 1.4442,              0.0099208,              0.0099208,              0.0099208
                     10,                0.74311,                 7.5557,                0.57831,                0.66892,                 1.2256,                0.91336,                   0.92,                0.95718,                0.72012,                0.10063,                0.09333,                0.01307,                 0.0021,                0.94717,                 6.9471,                0.34472,                0.64493,                 1.4498,              0.0099109,              0.0099109,              0.0099109
                     11,                0.74767,                 7.4285,                0.56009,                0.66178,                 1.2258,                0.93511,                0.95333,                0.97421,                0.70403,                 0.1504,                0.15333,                0.03256,                0.00458,                 1.0054,                 6.7815,                0.32739,                0.63262,                 1.4669,               0.009901,               0.009901,               0.009901
                     12,                0.71763,                 7.1654,                0.55192,                0.63134,                 1.1972,                0.92258,                0.95331,                0.96945,                0.70439,                0.15425,                   0.16,                0.03461,                0.00501,                0.94986,                 6.6683,                0.30911,                0.61828,                 1.3818,              0.0098911,              0.0098911,              0.0098911
                     13,                0.70398,                 7.0711,                 0.5414,                0.63413,                 1.1981,                0.94767,                0.96578,                0.98617,                0.71667,                0.17819,                0.16667,                0.04159,                0.00989,                0.95833,                 6.5198,                0.31706,                0.58099,                 1.3898,              0.0098812,              0.0098812,              0.0098812
                     14,                0.70562,                 7.0338,                 0.5302,                0.62471,                 1.2043,                0.92884,                0.94667,                0.96061,                0.69287,                0.20948,                   0.22,                0.04955,                0.00933,                 1.0064,                 6.3035,                0.29542,                0.69267,                 1.4769,              0.0098713,              0.0098713,              0.0098713
                     15,                0.70299,                 6.8929,                0.52021,                0.62069,                 1.2059,                0.92263,                  0.954,                0.97153,                0.68514,                0.18407,                0.19333,                0.04199,                0.00785,                0.99163,                 6.3114,                0.30015,                0.63005,                 1.4466,              0.0098614,              0.0098614,              0.0098614
                     16,                0.69121,                 6.8137,                0.51791,                0.61501,                   1.19,                0.78701,                0.93609,                0.91044,                0.67793,                0.12332,                   0.16,                0.02198,                0.00494,                 0.9677,                 6.4124,                0.30711,                0.87604,                 1.4331,              0.0098515,              0.0098515,              0.0098515
                     17,                 0.6769,                  6.595,                0.51201,                0.60015,                 1.1869,                0.97976,                  0.968,                0.99057,                0.74395,                0.27581,                   0.24,                0.09011,                0.02068,                0.92788,                  6.072,                0.29695,                0.52593,                 1.3891,              0.0098416,              0.0098416,              0.0098416
